X1,Y1,Z1,E1
3,2.33,3.67,3.33
3,3.33,2,3
3,3,3,3
4.67,2.33,1.33,4.67
2.67,1.67,3,3
1.67,2,2,2
4.67,4.33,4.67,4.67
1.67,2,3.67,1.67
3.67,2.67,2.67,3.33
3.67,4,4,4
3.33,3,4,4
3,3,3,3
3,3,3.33,3
3.33,3.67,4,4
3,3.33,3.33,3
3.33,3.33,3.67,4
3.67,4,4,4
3.33,2.33,3.67,3.67
2.33,3.67,3.67,4.33
4,3,3.67,4
2.67,3,3,2.67
3,4.33,1,4.33
4,4,4,4
2.33,3,1.67,2.33
3.33,2,3.67,3.67
2,2,2,2
4,4.33,4.33,4
2.67,3.67,4,2.33
2.67,2.33,2.33,3
3.33,3,3,3
3.33,3,3.67,4
3.33,2.67,3.67,3.67
3.33,2.33,3.67,4
3,3,4,4
3,3.33,3.33,3
3.33,2.33,3.67,3
2,2,2,2
3,3,3,3
4,4.33,4,4
3,3.33,3,3
3,3.33,3.33,3
2,2.67,2.67,3.67
3.67,3.67,2,5
4,4,4,4
3,2.33,3,3
3.67,2.67,2.67,3.33
3.33,2,2.33,2.33
3.67,4,4,3.67
4,4,4,4
3,1.67,2.33,3
4,3.67,4.33,4.33
2,3.67,2,2
3,3,3,3
3,3.33,3,3
2.33,4,1.67,2.33
2.67,2.33,2,4
2.33,4,4,3.67
4,4,4.33,4
2,2,2,2
2.67,3,3,3
2,4.67,4.67,4.67
3.67,3.67,4,3
3,3,3,4
4.33,4,3,4
2.67,3,3,3
3.67,3,3.33,3
2.67,3,2.67,2.67
2.67,2.67,3.33,4
3,3.33,3.33,4
2.33,3,3,3
3.67,4,4,3
4.67,3.67,3.67,3.67
3,1.67,3,3
2.67,3.33,3.33,3.67
2,3,3,3
3,4,4,4
3.33,2.33,3.33,3.33
3.33,4,4,4
2.33,3,2.33,2.33
5,3,5,3.33
2.33,3.33,2.33,2.33
4,2,3.67,4
3.67,3.67,3.33,3.33
3.33,2.67,3.33,3.33
3,4.33,3,3
3.33,2.33,3.33,3.33
3.33,3,3.33,3.33
3.33,3.67,2.33,2.33
3.67,3,3.67,3
3.33,4,4,3
3.67,3,3,3
4.67,3.67,3.67,3.33
2.67,3.33,3,2.67
1,2,2,2
4,3,4,4
4,4,4,4
3.33,3,3.33,3
4.33,2,3.67,4
3,4,4,3.33
3,3.33,3.33,3
2.67,2,2,2
3.33,2.33,3.33,3
3.33,2.33,3.67,3
2.33,3,4,4
3,1.67,2.67,3
3.33,2.67,2.67,3.67
2,2,1.67,2
2.67,3,3,3.67
3.67,3.67,4,4
1.33,3,3,4.33
3,3,3.67,3
3.33,3,3.33,3
3.67,2,4,4
3.33,3,3,3
3.33,4,4,3.33
3,4.33,3,3
1,3,3,5
3,2.67,1.67,3
3,3,2.67,2
3,3,2.67,2
3.67,3,4.33,5
4.33,3.67,4,4
1.33,4,4,4.33
3,4,4,3.67
3.33,2,2.33,2.33
3,3,3,3
2.67,3,2.33,2.33
3.67,4.33,4,4
4,3.67,4,3.67
3,4.33,4,4
1,2,2,2
4,4,3,3
3.67,3.67,4.33,5
3.33,3,3.33,3.33
3.33,2.67,2.67,3.67
3.33,2.33,3,3
4.33,4,4,4
3,3,4,4
3,3.33,2.67,2.67
3.33,2,2.67,2.67
3,3,3,4
3.33,2.33,2.67,3
4.67,4,4.67,4.67
3.33,2.33,1.67,3
3,2.33,2.33,2.33
4.33,3.67,4,4
4.33,4.33,4,4
3.33,1.67,3,3.67
4,3.33,4,4
3,3.67,3.67,3.67
4,4.33,4,4
2.67,3.67,2.33,2.33
3.33,4,4,4
3,2.67,3.33,3
3.33,2.67,4,4
3,2.33,2.33,2.67
3.33,2,2.33,2.33
4.67,4,3.67,3.67
3.33,2.67,3.67,3.33
4,4,2,4
3,3,2.33,2.33
3.33,2,2.67,2.67
3.67,3,3.33,3.33
3,2.67,2.67,3
3,3,3,3
1.33,4,4,4.33
3.33,2.33,3.33,3.33
1.67,3.67,3,2.33
3,3.33,3,3
3.33,1.67,2.67,2
2,4,4,4
4,4.33,2.33,4
4.67,3,3.67,3.33
2.67,3,1.67,3
2.67,2.67,3,3
3.67,2.67,4,4
3,3.33,4,4
3,3,3,3
3,3,2.67,3
3,3,3,3
3,3,2.67,3
3,3.33,3.33,2.67
2.33,2.33,2.33,3.67
2.67,3,2.67,3
1.67,1.67,2.33,2.33
2,3.67,3.67,3.67
4,3,4,4
3,3,3,3
3.67,3.33,3.33,4
2.67,2,2,2
3,3,3,4
2,3.67,3.67,3.67
3.33,2.33,2.33,3
4.67,4,2,4
3,2,2,2
3.33,3,3.33,4
5,3.33,3,3
2.33,1.67,2,1.67
3.67,3.67,3.67,3.67
2.33,4,2.33,3.67
3,4,4,4
3.33,3,3,3
3,3,3,3
2.33,2,2.33,3
3,3.33,3,3
1.67,3.67,4,2
2.67,2.67,2.67,2.67
2.33,1.67,2.33,3
4,2.33,3,4
2.67,3.33,2.33,2.33
2,3.67,3.67,4
3,3.67,2,2
2.33,2.33,1.67,3
3.33,4,3,3
3.33,2.67,1.67,3.33
2.67,3.33,3,2.67
3,3.33,2.33,2.67
4,3.67,4,3.67
2.67,2.67,2.67,2.67
3,3.33,3.67,3
3,3.67,2.33,3
3,3,3,3
3.33,3,3,4
3,4,4,4
3.67,3.67,3.67,5
2.67,2.33,2.33,3.67
3.33,3,3,3
3.33,3.67,3.33,3.67
3,3,3,3
2.67,3,2.67,2.67
3.33,2.33,2.33,2.33
999,999,3,999
3,2.67,2.33,2
